Métricas de Evaluación (Z=100)

Consulta  Precision  Recuerdo   Medida F   Precision R
---------------------------------------------------------
    1     0.0000     0.0000     0.0000     0.0000
    2     0.0000     0.0000     0.0000     0.0000
    3     0.0100     0.1667     0.0189     0.1667
    4     0.0000     0.0000     0.0000     0.0000
    5     0.0000     0.0000     0.0000     0.0000
    6     0.0000     0.0000     0.0000     0.0000
    7     0.0000     0.0000     0.0000     0.0000
    8     0.0000     0.0000     0.0000     0.0000
    9     0.0000     0.0000     0.0000     0.0000
   10     0.0000     0.0000     0.0000     0.0000
   11     0.0000     0.0000     0.0000     0.0000
   12     0.0100     0.2000     0.0190     0.0000
   13     0.0100     0.0909     0.0180     0.0000
   14     0.0300     0.0682     0.0417     0.0000
   15     0.0000     0.0000     0.0000     0.0000
   16     0.0000     0.0000     0.0000     0.0000
   17     0.0000     0.0000     0.0000     0.0000
   18     0.0000     0.0000     0.0000     0.0000
   19     0.0000     0.0000     0.0000     0.0000
   20     0.0000     0.0000     0.0000     0.0000
   21     0.0000     0.0000     0.0000     0.0000
   22     0.0000     0.0000     0.0000     0.0000
   23     0.0000     0.0000     0.0000     0.0000
   24     0.0000     0.0000     0.0000     0.0000
   25     0.0200     0.0392     0.0265     0.0392
   26     0.0000     0.0000     0.0000     0.0000
   27     0.0000     0.0000     0.0000     0.0000
   28     0.0000     0.0000     0.0000     0.0000
   29     0.0100     0.0526     0.0168     0.0000
   30     0.0000     0.0000     0.0000     0.0000
   31     0.0000     0.0000     0.0000     0.0000
   32     0.0000     0.0000     0.0000     0.0000
   33     0.0000     0.0000     0.0000     0.0000
   36     0.0000     0.0000     0.0000     0.0000
   37     0.0000     0.0000     0.0000     0.0000
   38     0.0000     0.0000     0.0000     0.0000
   39     0.0000     0.0000     0.0000     0.0000
   40     0.0000     0.0000     0.0000     0.0000
   42     0.0200     0.0952     0.0331     0.0000
   43     0.0000     0.0000     0.0000     0.0000
   44     0.0000     0.0000     0.0000     0.0000
   45     0.0000     0.0000     0.0000     0.0000
   48     0.0000     0.0000     0.0000     0.0000
   49     0.0000     0.0000     0.0000     0.0000
   57     0.0000     0.0000     0.0000     0.0000
   58     0.0000     0.0000     0.0000     0.0000
   59     0.0000     0.0000     0.0000     0.0000
   60     0.0000     0.0000     0.0000     0.0000
   61     0.0000     0.0000     0.0000     0.0000
   62     0.0000     0.0000     0.0000     0.0000
   63     0.0000     0.0000     0.0000     0.0000
   64     0.0000     0.0000     0.0000     0.0000
